Date,symbol,adjusted,close,shares_held,year,month,mktcap,day
2009-02-01,AMZN,64.790001,64.790001,4780952,2009,2,309757884.860952,1
2009-03-01,AMZN,73.440002,73.440002,4780952,2009,3,351113124.441904,1
2009-04-01,AMZN,80.519997,80.519997,4780952,2009,4,384962240.69714403,1
2009-05-01,AMZN,77.989998,77.989998,4780952,2009,5,372866436.918096,1
2009-06-01,AMZN,83.660004,83.660004,4780952,2009,6,399974463.443808,1
2009-07-01,AMZN,85.760002,85.760002,4780952,2009,7,410014453.081904,1
2009-08-01,AMZN,81.190002,81.190002,4780952,2009,8,388165502.441904,1
2009-09-01,AMZN,93.360001,93.360001,4780952,2009,9,446349683.500952,1
2009-10-01,AMZN,118.809998,118.809998,4780952,2009,10,568024897.5580959,1
2009-11-01,AMZN,135.91000400000001,135.91000400000001,4780952,2009,11,649779205.4438081,1
2009-12-01,AMZN,134.520004,134.520004,4780952,2009,12,643133682.163808,1
2010-01-01,AMZN,125.410004,125.410004,4780952,2010,1,599579209.443808,1
2010-02-01,AMZN,118.400002,118.400002,4780952,2010,2,566064726.361904,1
2010-03-01,AMZN,135.770004,135.770004,4780952,2010,3,649109872.163808,1
2010-04-01,AMZN,137.100006,137.100006,4780952,2010,4,655468547.885712,1
2010-05-01,AMZN,125.459999,125.459999,4780952,2010,5,599818233.139048,1
2010-06-01,AMZN,109.260002,109.260002,4780952,2010,6,522366825.081904,1
2010-07-01,AMZN,117.889999,117.889999,4780952,2010,7,563626426.499048,1
2010-08-01,AMZN,124.83000200000001,124.83000200000001,4780952,2010,8,596806247.721904,1
2010-09-01,AMZN,157.059998,157.059998,4780952,2010,9,750896311.558096,1
2010-10-01,AMZN,165.229996,165.229996,4780952,2010,10,789956679.836192,1
2010-11-01,AMZN,175.399994,175.399994,4780952,2010,11,838578952.114288,1
2010-12-01,AMZN,180.0,180.0,4780952,2010,12,860571360.0,1
2011-01-01,AMZN,169.639999,169.639999,4780952,2011,1,811040692.499048,1
2011-02-01,AMZN,173.28999299999998,173.28999299999998,4780952,2011,2,828491138.613336,1
2011-03-01,AMZN,180.130005,180.130005,4780952,2011,3,861192907.6647601,1
2011-04-01,AMZN,195.809998,195.809998,4780952,2011,4,936158201.558096,1
2011-05-01,AMZN,196.690002,196.690002,4780952,2011,5,940365458.441904,1
2011-06-01,AMZN,204.490005,204.490005,4780952,2011,6,977656898.38476,1
2011-07-01,AMZN,222.520004,222.520004,4780952,2011,7,1063857458.163808,1
2011-08-01,AMZN,215.229996,215.229996,4780952,2011,8,1029004279.836192,1
2011-09-01,AMZN,216.229996,216.229996,4780952,2011,9,1033785231.836192,1
2011-10-01,AMZN,213.50999500000003,213.50999500000003,4780952,2011,10,1020781037.6152401,1
2011-11-01,AMZN,192.28999299999998,192.28999299999998,4780952,2011,11,919329226.613336,1
2011-12-01,AMZN,173.100006,173.100006,4780952,2011,12,827582819.885712,1
2012-01-01,AMZN,194.440002,194.440002,4780952,2012,1,929608316.441904,1
2012-02-01,AMZN,179.690002,179.690002,4780952,2012,2,859089274.441904,1
2012-03-01,AMZN,202.509995,202.509995,4780952,2012,3,968190565.61524,1
2012-04-01,AMZN,231.899994,231.899994,4780952,2012,4,1108702740.1142879,1
2012-05-01,AMZN,212.91000400000001,212.91000400000001,4780952,2012,5,1017912509.4438081,1
2012-06-01,AMZN,228.350006,228.350006,4780952,2012,6,1091730417.8857121,1
2012-07-01,AMZN,233.30000299999998,233.30000299999998,4780952,2012,7,1115396115.9428558,1
2012-08-01,AMZN,248.270004,248.270004,4780952,2012,8,1186966972.163808,1
2012-09-01,AMZN,254.32000699999998,254.32000699999998,4780952,2012,9,1215891746.106664,1
2012-10-01,AMZN,232.88999900000002,232.88999900000002,4780952,2012,10,1113435906.499048,1
2012-11-01,AMZN,252.05000299999998,252.05000299999998,4780952,2012,11,1205038965.9428558,1
2012-12-01,AMZN,250.86999500000002,250.86999500000002,4780952,2012,12,1199397404.3352401,1
2013-01-01,AMZN,265.5,265.5,4780952,2013,1,1269342756.0,1
2013-02-01,AMZN,264.269989,264.269989,4780952,2013,2,1263462132.449528,1
2013-03-01,AMZN,266.48999,266.48999,4780952,2013,3,1274075850.6704798,1
2013-04-01,AMZN,253.809998,253.809998,4780952,2013,4,1213453417.558096,1
2013-05-01,AMZN,269.200012,269.200012,4780952,2013,5,1287032335.771424,1
2013-06-01,AMZN,277.690002,277.690002,4780952,2013,6,1327622570.441904,1
2013-07-01,AMZN,301.22000099999997,301.22000099999997,4780952,2013,7,1440118366.2209518,1
2013-08-01,AMZN,280.980011,280.980011,4780952,2013,8,1343351945.550472,1
2013-09-01,AMZN,312.640015,312.640015,4780952,2013,9,1494716904.99428,1
2013-10-01,AMZN,364.02999900000003,364.02999900000003,4780952,2013,10,1740409951.7790482,1
2013-11-01,AMZN,393.619995,393.619995,4780952,2013,11,1881878302.3352401,1
2013-12-01,AMZN,398.790009,398.790009,4780952,2013,12,1906595891.108568,1
2014-01-01,AMZN,358.690002,358.690002,4780952,2014,1,1714879682.441904,1
2014-02-01,AMZN,362.100006,362.100006,4780952,2014,2,1731182747.8857121,1
2014-03-01,AMZN,336.369995,336.369995,4780952,2014,3,1608168800.3352401,1
2014-04-01,AMZN,304.130005,304.130005,4780952,2014,4,1454030955.6647599,1
2014-05-01,AMZN,312.549988,312.549988,4780952,2014,5,1494286490.228576,1
2014-06-01,AMZN,324.77999900000003,324.77999900000003,4780952,2014,6,1552757585.7790482,1
2014-07-01,AMZN,312.98999,312.98999,4780952,2014,7,1496390118.6704798,1
2014-08-01,AMZN,339.040009,339.040009,4780952,2014,8,1620934009.108568,1
2014-09-01,AMZN,322.440002,322.440002,4780952,2014,9,1541570172.441904,1
2014-10-01,AMZN,305.459991,305.459991,4780952,2014,10,1460389554.891432,1
2014-11-01,AMZN,338.640015,338.640015,4780952,2014,11,1619021656.99428,1
